x,y,z,g,wa,wr
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
100.0,100.0,90.0,90,90.0,90
101.0,97.0,90.0,90,90.0,90
98.0,90.0,90.0,90,90.0,90
97.0,80.0,90.0,90,90.0,90
98.0,72.0,90.0,90,90.0,90
101.0,53.0,90.0,90,90.0,90
102.0,50.0,90.0,90,90.0,90
81.0,39.0,90.0,90,90.0,90
60.0,39.0,90.0,90,90.0,90
58.0,48.0,90.0,90,90.0,90
80.0,67.0,90.0,90,90.0,90
116.0,64.0,90.0,90,90.0,90
131.0,81.0,90.0,90,90.0,90
141.0,108.0,90.0,90,90.0,90
126.0,125.0,90.0,90,90.0,90
100.0,135.0,90.0,90,90.0,90
72.0,122.0,90.0,90,90.0,90
58.0,94.0,90.0,90,90.0,90
49.0,92.0,90.0,90,90.0,90
39.0,120.0,90.0,90,90.0,90
45.0,134.0,90.0,90,90.0,90
71.0,139.0,90.0,90,90.0,90
76.0,122.0,90.0,90,90.0,90
76.0,86.0,90.0,90,90.0,90
92.0,57.0,90.0,90,90.0,90
116.0,55.0,90.0,90,90.0,90
136.0,84.0,90.0,90,90.0,90
137.0,114.0,90.0,90,90.0,90
137.0,122.0,90.0,90,90.0,90
105.0,117.0,90.0,90,90.0,90
78.0,104.0,90.0,90,90.0,90
58.0,103.0,90.0,90,90.0,90
57.0,103.0,90.0,90,90.0,90
73.0,99.0,90.0,90,90.0,90
102.0,100.0,90.0,90,90.0,90
111.0,102.0,90.0,90,90.0,90
112.0,102.0,90.0,90,90.0,90
107.0,102.0,90.0,90,90.0,90
71.0,90.0,90.0,90,90.0,90
50.0,84.0,90.0,90,90.0,90
49.0,85.0,90.0,90,90.0,90
50.0,83.0,90.0,90,90.0,90
72.0,52.0,90.0,90,90.0,90
78.0,49.0,90.0,90,90.0,90
85.0,48.0,90.0,90,90.0,90
103.0,65.0,90.0,90,90.0,90
105.0,96.0,90.0,90,90.0,90
102.0,115.0,90.0,90,90.0,90
85.0,117.0,90.0,90,90.0,90
76.0,109.0,90.0,90,90.0,90
98.0,94.0,90.0,90,90.0,90
104.0,93.0,90.0,90,90.0,90
111.0,106.0,90.0,90,90.0,90
102.0,111.0,90.0,90,90.0,90
85.0,108.0,90.0,90,90.0,90
78.0,107.0,90.0,90,90.0,90
76.0,102.0,90.0,90,90.0,90
101.0,101.0,90.0,90,90.0,90
124.0,100.0,90.0,90,90.0,90
134.0,89.0,90.0,90,90.0,90
143.0,63.0,90.0,90,90.0,90
149.0,54.0,90.0,90,90.0,90
156.0,53.0,90.0,90,90.0,90
155.0,61.0,90.0,90,90.0,90
143.0,70.0,90.0,90,90.0,90
124.0,83.0,90.0,90,90.0,90
119.0,92.0,90.0,90,90.0,90
102.0,94.0,90.0,90,90.0,90
90.0,90.0,90.0,90,90.0,90
80.0,83.0,90.0,90,90.0,90
72.0,83.0,90.0,90,90.0,90
67.0,96.0,90.0,90,90.0,90
68.0,100.0,90.0,90,90.0,90
71.0,101.0,90.0,90,90.0,90
72.0,103.0,90.0,90,90.0,90
77.0,104.0,90.0,90,90.0,90
80.0,103.0,90.0,90,90.0,90
80.0,103.0,90.0,90,90.0,90
80.0,103.0,90.0,90,90.0,90
80.0,103.0,90.0,90,90.0,90
80.0,103.0,90.0,90,90.0,90
80.0,103.0,90.0,90,90.0,90
